last_name, first_name,player_id,year,p_game,p_formatted_ip,p_total_pitches,
Norris, Daniel,596057,2022,41,58.2,1012,
Peters, Dillon,596071,2022,22,39.1,634,
Stephenson, Robert,596112,2022,58,58.0,914,
Weaver, Luke,596133,2022,26,35.2,721,
Gomber, Austin,596295,2022,33,124.2,2059,
Barnes, Matt,598264,2022,44,39.2,693,
Ramirez, Noe,598287,2022,55,50.0,837,
Leclerc, Jose,600917,2022,39,47.2,782,
Machado, Andres,600921,2022,51,59.1,997,
Pivetta, Nick,601713,2022,33,179.2,3082,
Barlow, Scott,605130,2022,69,74.1,1198,
Bassitt, Chris,605135,2022,30,181.2,2886,
Brebbia, John,605154,2022,76,68.0,1091,
Bundy, Dylan,605164,2022,29,140.0,2180,
Chafin, Andrew,605177,2022,64,57.1,899,
Clevinger, Mike,605182,2022,23,114.1,1931,
Cotton, Jharel,605194,2022,30,43.0,741,
Davies, Zach,605200,2022,27,134.1,2292,
Edwards Jr., Carl,605218,2022,57,62.0,1014,
Fulmer, Michael,605242,2022,67,63.2,1043,
Holmes, Clay,605280,2022,62,63.2,981,
Houser, Adrian,605288,2022,22,102.2,1848,
Lopez, Jorge,605347,2022,67,71.0,1161,
Musgrove, Joe,605397,2022,30,181.0,2834,
Nola, Aaron,605400,2022,32,205.0,3039,
Romano, Jordan,605447,2022,63,64.0,989,
Snell, Blake,605483,2022,24,128.0,2341,
Springs, Jeffrey,605488,2022,33,135.1,2149,
Thompson, Zach,605507,2022,29,121.2,2080,
Warren, Art,605521,2022,39,36.0,655,
Wisler, Matt,605538,2022,39,44.0,749,
Woodruff, Brandon,605540,2022,27,153.1,2538,
Gallegos, Giovanny,606149,2022,57,59.0,988,
Montero, Rafael,606160,2022,71,68.1,1093,
Payamps, Joel,606303,2022,41,55.2,952,
Garcia, Jarlin,606424,2022,58,65.0,1015,
Moronta, Reyes,606625,2022,39,37.2,641,
Rodon, Carlos,607074,2022,31,178.0,2985,
Weems, Jordan,607179,2022,32,39.2,738,
Fedde, Erick,607200,2022,27,127.0,2420,
