"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Max Kepler","596146","NA","9","Right Fielder","339","0","0","0","0","0","7","332","0","339","93.8",,,,,,,"88.1",,"88.1","88.1"
"Taylor Ward","621493","NA","9","Right Fielder","356","0","0","1","0","4","8","343","1","355","95.2",,,,,,,"87.7",,"87.7","87.7"
"Rob Refsnyder","608701","NA","9","Right Fielder","126","0","0","0","0","16","48","62","0","126","95",,,,,,,"91.7",,"91.3","91.3"
"Ronald Acuña Jr.","660670","NA","9","Right Fielder","224","0","0","0","0","0","0","224","0","224","101.5",,,,,,,"97.9",,"97.9","97.9"
"LaMonte Wade Jr.","664774","NA","9","Right Fielder","181","76","0","0","0","24","3","78","0","105","90",,,,,,,"86.3",,"85.6","85.6"
"Manuel Margot","622534","NA","9","Right Fielder","154","0","0","0","0","17","28","109","0","154","95.9",,,,,,,"86.7",,"85.8","85.8"
"Austin Meadows","640457","NA","9","Right Fielder","90","0","0","0","0","43","0","47","0","90","86.6",,,,,,,,,"82.5","82.5"
"Oscar Mercado","640458","NA","9","Right Fielder","105","0","0","0","0","25","10","70","0","105","91.4",,,,,,,"88.2",,"87.2","87.2"
"Aristides Aquino","606157","NA","9","Right Fielder","170","0","0","0","0","19","6","145","0","170","101.6",,,,,,,"95.7",,"96.6","96.6"
"Avisaíl García","541645","NA","9","Right Fielder","183","0","0","0","0","0","0","183","0","183","97.1",,,,,,,"91",,"91","91"
"Mookie Betts","605141","NA","9","Right Fielder","386","0","23","0","0","0","0","363","23","363","96.8",,,,,,,"89",,"89","89"
"Oswaldo Cabrera","665828","NA","9","Right Fielder","138","5","16","15","21","26","0","55","52","81","95.6",,,,,,,"92.1",,"91.3","91.3"
"Travis Demeritte","641513","NA","9","Right Fielder","82","0","0","0","0","18","0","64","0","82","92.4",,,,,,,"85.9",,"85.8","85.8"
"Edward Olivares","658668","NA","9","Right Fielder","120","0","0","0","0","37","1","82","0","120","92",,,,,,,"90",,"90","90"
"Teoscar Hernández","606192","NA","9","Right Fielder","348","0","0","0","0","20","0","328","0","348","94",,,,,,,"90.7",,"90.7","90.7"
"Drew Waters","671221","NA","9","Right Fielder","107","0","0","0","0","6","46","55","0","107","96.5",,,,,,,"91.9",,"94.1","94.1"
"Ramón Laureano","657656","NA","9","Right Fielder","277","0","0","0","0","0","111","166","0","277","94.4",,,,,,"90.3","89.3",,"89.8","89.8"
"Jackie Bradley Jr.","598265","NA","9","Right Fielder","313","0","0","0","0","0","129","184","0","313","96.9",,,,,,"90.6","92.7",,"92.1","92.1"
"Willi Castro","650489","NA","9","Right Fielder","310","0","46","14","41","62","46","101","101","209","97",,,,,"87",,"91.4","85.9","90.8","90.8"
"Sam Haggerty","664059","NA","9","Right Fielder","176","0","8","0","0","92","9","67","8","168","91.6",,,,,"86.2",,"84.8",,"85.7","85.7"
"Kerry Carpenter","681481","NA","10","Designated Hitter","51","0","0","0","0","39","0","12","0","51","90",,,,,,,,,"86.6","86.6"
"Michael Brantley","488726","NA","10","Designated Hitter","75","0","0","0","0","75","0","0","0","75","88.7",,,,,"84.1",,,,"84.1","84.1"
"Trey Mancini","641820","NA","10","Designated Hitter","222","148","0","0","0","38","0","36","0","74","86.9","75.7",,,,,,,,"81.8","81.8"
"Harold Ramírez","623912","NA","10","Designated Hitter","148","113","0","0","0","12","0","23","0","35","83.3","74.6",,,,,,,,,"74.6"
"Luke Voit","572228","NA","10","Designated Hitter","122","122","0","0","0","0","0","0","0","0","74.5","72.4",,,,,,,,,"72.4"
"Yordan Alvarez","670541","NA","10","Designated Hitter","140","0","0","0","0","140","0","0","0","140","94.2",,,,,"89.3",,,,"89.3","89.3"
"Marcell Ozuna","542303","NA","10","Designated Hitter","130","0","0","0","0","130","0","0","0","130","83.6",,,,,"79.2",,,,"79.2","79.2"
"Mike Moustakas","519058","NA","10","Designated Hitter","170","106","0","64","0","0","0","0","64","0","86.7","78.2",,,,,,,,,"78.2"
"Giancarlo Stanton","519317","NA","10","Designated Hitter","70","0","0","0","0","5","0","65","0","70","91.3",,,,,,,"85.6",,"85.6","85.6"
"Eloy Jiménez","650391","NA","10","Designated Hitter","65","0","0","0","0","65","0","0","0","65","81.3",,,,,"78.4",,,,"78.4","78.4"
"Charlie Blackmon","453568","NA","10","Designated Hitter","149","0","0","0","0","0","0","149","0","149","94.8",,,,,,,"91",,"91","91"
"Andrew McCutchen","457705","NA","10","Designated Hitter","117","0","0","0","0","74","4","39","0","117","87",,,,,"75.5",,,,"83.2","83.2"
