"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Matt Chapman","TOR","3B","153","151","1344.1","164","263","5","1","4","36","31","6","4","","","","","",".988","","16505"
"Isiah Kiner-Falefa","NYY","SS","138","131","1185.0","149","331","15","9","6","47","30","16","5","","","","","",".970","","16512"
"Jonah Heim","TEX","C","111","102","900.2","839","37","3","0","3","0","1","0","2","","57","13","3","41",".997","","16930"
"Gleyber Torres","NYY","2B","124","121","1082.2","192","270","7","5","2","47","14","34","2","","","","","",".985","","16997"
"Jorge Mateo","BAL","SS","149","142","1257.1","181","417","17","10","7","86","54","35","3","","","","","",".972","","17273"
"Rafael Devers","BOS","3B","138","137","1186.0","124","255","14","5","9","25","20","6","3","","","","","",".964","","17350"
"Taylor Ward","LAA","RF","125","122","1069.0","263","5","5","3","2","0","1","0","0","","","","","",".982","","17548"
"Myles Straw","CLE","CF","152","144","1309.0","371","12","2","0","2","0","2","0","0","","","","","",".995","","17620"
"Alex Bregman","HOU","3B","154","153","1360.1","144","263","7","4","3","35","26","11","2","","","","","",".983","","17678"
"Andrew Benintendi","- - -","LF","124","119","1041.1","214","4","0","0","0","0","0","0","0","","","","","","1.000","","17901"
"Brendan Rodgers","COL","2B","134","133","1168.1","218","411","10","5","5","95","38","59","2","","","","","",".984","","17907"
"Ian Happ","CHC","LF","146","142","1233.1","274","8","3","3","0","0","1","0","0","","","","","",".989","","17919"
"Cedric Mullins II","BAL","CF","150","140","1259.2","358","9","0","0","0","0","4","0","0","","","","","","1.000","","17929"
"Ty France","SEA","1B","127","124","1084.1","816","72","3","1","0","70","3","1","72","15","","","","",".997","","17982"
"Jake Cronenworth","SDP","2B","147","142","1239.2","205","308","4","2","2","72","18","55","4","","","","","",".992","","18036"
"Dansby Swanson","ATL","SS","161","161","1433.0","193","391","8","3","5","73","41","33","3","","","","","",".986","","18314"
"Kyle Tucker","HOU","RF","147","145","1276.1","287","8","3","1","2","0","1","0","0","","","","","",".990","","18345"
"Austin Riley","ATL","3B","159","157","1408.0","97","283","14","9","5","17","17","3","1","","","","","",".964","","18360"
"Victor Robles","WSN","CF","128","110","971.2","340","7","6","3","3","0","3","0","0","","","","","",".983","","18363"
"Ryan Mountcastle","BAL","1B","124","123","1079.1","963","75","5","3","2","107","3","0","110","18","","","","",".995","","18373"
"Trent Grisham","SDP","CF","148","124","1143.0","341","3","2","2","0","0","1","0","0","","","","","",".994","","18564"
