last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_home_run,b_k_percent,xbadiff,solidcontact_percent,hard_hit_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,
Walsh, Jared,665120,2022,454,91,15,30.4,-0.006,6,42.5,49.1,37.9,39.6,22.5,
Pena, Jeremy,665161,2022,558,132,22,24.2,.005,5.4,36.7,55.2,42.6,33.2,24.2,
Celestino, Gilberto,665482,2022,347,74,2,22.2,.019,4.2,34.3,44.5,28.4,34.3,37.3,
Guerrero Jr., Vladimir,665489,2022,706,175,32,16.4,-0.002,6.8,50.4,49.7,37.8,39.9,22.2,
Pache, Cristian,665506,2022,260,40,3,26.9,-0.062,3.4,40.8,50.5,42.5,39.1,18.4,
Soto, Juan,665742,2022,664,127,27,14.5,-0.024,7.2,47.4,35.5,33.6,42.1,24.3,
Taveras, Leody,665750,2022,341,82,5,25.8,.031,3,36.1,49.2,34.3,39.1,26.5,
Cruz, Oneil,665833,2022,361,77,17,34.9,.010,2.9,46.1,40.5,41.3,37.9,20.9,
Gimenez, Andres,665926,2022,557,146,17,20.1,.040,6.5,37.8,53.7,37.8,40.4,21.8,
Lux, Gavin,666158,2022,471,116,6,20.2,.029,6.1,39.8,42.6,37.7,40.1,22.2,
Adell, Jo,666176,2022,285,60,8,37.5,.023,3.1,37.7,52,45.7,31.5,22.8,
Bichette, Bo,666182,2022,697,189,24,22.2,.012,7.2,50.3,55.9,29.3,35.9,34.9,
Carlson, Dylan,666185,2022,488,102,8,19.3,.002,7.3,27.2,46.2,34.8,38,27.2,
Morel, Christopher,666624,2022,425,89,16,32.2,.002,5.7,40.3,50.1,39.3,42.9,17.8,
Castro, Rodolfo,666801,2022,278,59,11,26.6,.023,7.2,35,47.5,38.9,36.7,24.4,
Dalbec, Bobby,666915,2022,353,68,12,33.4,-0.001,6.4,45.8,46.5,35.5,38.4,26.1,
Garcia, Adolis,666969,2022,657,151,27,27.9,.006,9.3,47.4,53.5,39.3,37.9,22.9,
Gurriel Jr., Lourdes,666971,2022,493,132,5,16.8,.018,8.9,45.7,48.7,35.5,36.8,27.7,
Arozarena, Randy,668227,2022,645,154,20,24.2,.029,5.8,41,46.1,32.4,44.2,23.4,
Knizner, Andrew,668800,2022,293,56,4,21.2,-0.004,3.5,33.2,48.8,36.7,39.7,23.6,
Reynolds, Bryan,668804,2022,614,142,27,23.0,.013,6,42.9,50.4,39.2,37.5,23.3,
Rutschman, Adley,668939,2022,470,101,13,18.3,.006,6.7,36.8,40.5,39,40,21,
Rojas, Josh,668942,2022,510,119,9,19.2,.027,4.8,36.1,41,32.7,36.1,31.3,
Melendez Jr., MJ,669004,2022,534,100,18,24.5,-0.020,6.8,43.5,44.6,43.5,33.6,22.9,
Marsh, Brandon,669016,2022,461,104,11,34.3,.019,7,38.2,47.9,30.1,43.8,26.1,
Murphy, Sean,669221,2022,612,134,18,20.3,-0.005,6.5,41.4,49.3,39.7,36.6,23.7,
Senzel, Nick,669222,2022,420,86,5,18.1,-0.018,5,33.9,47.7,38,36.3,25.7,
Edman, Tommy,669242,2022,630,153,13,17.6,.007,5.1,37.8,47,37.8,38.7,23.5,
Smith, Will,669257,2022,578,132,24,16.6,.003,7.2,43,42.6,36.5,36.8,26.7,
Suwinski, Jack,669261,2022,372,66,19,30.6,-0.002,7.5,40.4,43.2,43.7,34.7,21.6,
Espinal, Santiago,669289,2022,491,120,7,13.8,.004,3.6,31.7,46.1,37.7,39,23.4,
Miranda, Jose,669304,2022,483,119,15,18.8,.015,7.9,42.4,51.5,41.8,33.3,24.9,
Gorman, Nolan,669357,2022,313,64,14,32.9,-0.013,11.7,43.3,51.1,38.9,37.8,23.3,
Hiura, Keston,669374,2022,266,53,14,41.7,.021,11.3,45.2,49,37.9,41.1,21,
Allen, Nick,669397,2022,326,62,4,19.6,-0.003,3.3,22.3,53,27.3,34.3,38.4,
Smith, Josh H.,669701,2022,253,42,2,19.8,-0.027,5.4,28.6,41.1,36.3,38.7,25,
Hays, Austin,669720,2022,582,134,16,19.6,.010,7.1,37.7,51,40.8,36.3,22.9,
Lopez, Nicky,670032,2022,480,99,0,13.1,-0.016,2.9,22.9,49.1,26.3,42.4,31.3,
Alvarez, Yordan,670541,2022,561,144,37,18.9,-0.023,7.5,59.8,42.7,39.1,38.8,22.1,
Paredes, Isaac,670623,2022,381,68,20,17.6,-0.005,6.4,38.7,39.8,49.2,31.6,19.2,
Walls, Taylor,670764,2022,466,70,8,25.8,-0.024,4.8,28.5,43,33.7,36.1,30.2,
Gonzalez, Luis,670768,2022,350,79,4,21.4,.039,7.5,32,47.2,29,36.1,34.9,
Friedl Jr., TJ,670770,2022,258,54,8,15.5,.025,6.8,29.8,43.5,44.5,31.4,24.1,
Garcia, Luis,671277,2022,377,99,7,22.3,.015,7.1,36.7,53.5,34.5,38.8,26.7,
Harris II, Michael,671739,2022,441,123,19,24.3,.029,6.8,45.1,52.4,32.1,43.5,24.4,
Kirk, Alejandro,672386,2022,541,134,14,10.7,.007,6.5,45.4,41,32.2,38.9,28.8,
Perdomo, Geraldo,672695,2022,500,84,5,20.6,-0.018,2,25.1,41.3,38,39.5,22.5,
Robert, Luis,673357,2022,401,108,12,19.2,.012,4.9,42.8,61.5,34.2,37.8,28,
Kim, Ha-Seong,673490,2022,582,130,11,17.2,.001,6.1,32.4,43.3,45.3,35.4,19.3,
Suzuki, Seiya,673548,2022,446,104,14,24.7,.015,5.5,41.3,39,28.3,38.6,33.1,
McCormick, Chas,676801,2022,407,88,14,26.0,.013,4.7,39,48.4,29.5,39.8,30.7,
Franco, Wander,677551,2022,344,87,6,9.6,-0.008,4.9,35.8,51.3,32.6,39.6,27.7,
Rodriguez, Julio,677594,2022,560,145,28,25.9,.030,8.4,50.7,50.2,39.2,37.6,23.2,
Thomas, Alek,677950,2022,411,88,8,18.0,-0.007,6.4,34.6,49.2,32.1,39.1,28.8,
Witt Jr., Bobby,677951,2022,632,150,20,21.4,.001,4.6,38.6,51.8,33.2,39.3,27.5,
Torkelson, Spencer,679529,2022,404,73,8,24.5,-0.023,8,41.8,45.9,39.2,34.2,26.6,
Kwan, Steven,680757,2022,638,168,6,9.4,.030,2.6,20.8,38.1,28.3,37.7,34,
Miller, Owen,680911,2022,472,103,6,19.7,-0.003,5.6,31.2,48,34.1,40.6,25.3,
Donovan, Brendan,680977,2022,468,110,5,15.0,.015,4.9,37.7,38.1,32.4,37.3,30.2,
Stott, Bryson,681082,2022,466,100,10,19.1,-0.003,4.4,36.8,45,32.6,35.6,31.8,
Abrams, CJ,682928,2022,302,70,2,16.6,.005,4.2,30.7,57,32.8,39.9,27.3,
Greene, Riley,682985,2022,418,95,5,28.7,.007,5,45.2,45.3,33.6,40.2,26.3,
Vaughn, Andrew,683734,2022,555,138,17,17.3,.016,10,48.6,47,31,39.4,29.6,
Pasquantino, Vinnie,686469,2022,298,76,10,11.4,.006,7.5,46.9,46,39.8,38.5,21.7,
