last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_home_run,b_k_percent,xbadiff,solidcontact_percent,hard_hit_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,
Harper, Bryce,547180,2022,426,106,18,20.4,-0.002,6.2,47.9,56.2,37.9,36.2,25.9,
Abreu, Jose,547989,2022,679,183,15,16.2,.008,7.7,51.8,47.3,34.5,39.2,26.3,
Diaz, Elias,553869,2022,381,80,9,21.5,.006,5.1,39.3,51.8,32.4,41.2,26.5,
Narvaez, Omar,553882,2022,296,54,4,19.3,-0.001,4.8,18.4,50,37.7,34.3,28,
Suarez, Eugenio,553993,2022,629,128,31,31.2,.016,7.4,43.5,41.8,44.3,31.3,24.4,
Urshela, Gio,570482,2022,551,143,13,17.4,.017,6.6,37.6,53.1,33.3,39.8,26.9,
Schoop, Jonathan,570731,2022,510,97,11,21.0,-0.026,6.6,38.6,55.5,37,39.9,23,
Arenado, Nolan,571448,2022,620,163,30,11.6,.028,7.8,38.9,48.4,45.2,34.8,20,
Barnhart, Tucker,571466,2022,308,62,1,24.0,.020,2.9,26,46.2,34.1,37,28.8,
Farmer, Kyle,571657,2022,583,134,14,17.0,-0.003,6.9,33.8,50.3,39.1,35.4,25.5,
Hernandez, Enrique,571771,2022,402,80,6,17.7,-0.016,3.4,35,47.7,43.9,33.7,22.4,
Muncy, Max,571970,2022,565,91,21,25.0,-0.012,10.3,45.6,38.6,48,31.3,20.7,
Myers, Wil,571976,2022,286,68,7,30.1,.036,7.9,37.6,45.3,35.4,34.8,29.8,
Naquin, Tyler,571980,2022,334,71,11,27.8,-0.018,6.9,40.8,58,38.1,33.9,28,
Pollock, AJ,572041,2022,527,120,14,18.6,-0.013,5.8,42,53.6,40.8,35.7,23.5,
Taylor, Michael A.,572191,2022,456,105,9,23.9,.031,4.8,32.9,51.5,36.5,37.7,25.8,
Thompson, Trayce,572204,2022,255,56,13,36.5,.005,7.8,46.9,43.9,55.5,27.3,17.2,
Voit III, Luke,572228,2022,568,113,22,31.5,.004,8.3,44.3,52,46.2,33.6,20.2,
Walker, Christian,572233,2022,667,141,36,19.6,-0.015,6.5,44,44.7,38.8,37,24.2,
Dickerson, Corey,572816,2022,297,75,6,16.2,.004,3.8,32.8,58.4,35.7,34.5,29.8,
Ruf, Darin,573131,2022,388,68,11,27.1,-0.015,8.2,40.5,40.4,42.2,29.3,28.4,
Yastrzemski, Mike,573262,2022,558,104,17,25.3,-0.006,5.1,42.5,42.9,42.7,33.6,23.6,
Contreras, Willson,575929,2022,487,101,22,21.1,-0.013,8.3,48.6,50.6,40.3,36.2,23.5,
Iglesias, Jose,578428,2022,467,128,3,12.0,.026,2.3,27.7,51.9,37.6,39.9,22.5,
Canha, Mark,592192,2022,542,123,13,17.9,.021,6.8,36.6,42.9,39.3,32,28.7,
Castellanos, Nick,592206,2022,558,138,13,23.3,.013,6.1,35.1,57,35.6,32.1,32.3,
Drury, Brandon,592273,2022,568,136,28,22.2,.021,7.3,42.2,45.9,44.7,32.1,23.2,
Gamel, Ben,592325,2022,423,86,9,23.2,-0.012,6.2,37.6,43.1,36.1,38.7,25.2,
Judge, Aaron,592450,2022,696,177,62,25.1,.006,7.2,61.8,42.7,47.3,31.5,21.3,
Machado, Manny,592518,2022,644,172,32,20.7,.034,9.8,49,50.8,40.7,33.1,26.2,
Pederson, Joc,592626,2022,433,104,23,23.1,.008,5.6,52.1,46.1,35.6,37.7,26.8,
Realmuto, J.T.,592663,2022,562,139,22,21.2,.001,6.7,47.2,49,38.2,33.6,28.2,
Renfroe, Hunter,592669,2022,522,121,29,23.2,.015,6.4,43.6,47.8,40.5,36,23.5,
Rosario, Eddie,592696,2022,270,53,5,25.2,.012,5.9,33,53.5,38.4,43.2,18.4,
Yelich, Christian,592885,2022,671,145,14,24.1,-0.006,6.7,48.6,43.2,33.4,38.9,27.6,
Merrifield, Whit,593160,2022,550,126,11,15.5,.010,7.3,31.1,50.9,35.1,35.8,29,
Bogaerts, Xander,593428,2022,631,171,15,18.7,.048,4.9,39.5,45.7,37.2,37.4,25.3,
Polanco, Jorge,593871,2022,445,88,16,21.3,-0.013,6.3,38.7,42.4,46.5,33.1,20.4,
Calhoun, Kole,594777,2022,424,76,12,32.1,-0.027,8.6,48.2,53.1,45.9,34.5,19.6,
Duvall, Adam,594807,2022,315,61,12,32.1,.004,7.4,41,50.5,48.4,32.4,19.1,
Alfaro, Jorge,595751,2022,274,63,7,35.8,.008,4.3,38.5,62.6,31.1,41.6,27.3,
Profar, Jurickson,595777,2022,658,140,15,15.7,-0.008,4.6,34.3,43.6,42.1,32.6,25.3,
Baez, Javier,595879,2022,590,132,17,24.9,.008,4.9,38,55.8,39.9,34.8,25.3,
Hedges, Austin,595978,2022,338,48,7,23.1,-0.020,4.4,22.3,47.6,41,34.9,24,
Lindor, Francisco,596019,2022,706,170,26,18.8,.016,6.2,41.3,47.8,38.3,37.5,24.2,
Odor, Rougned,596059,2022,472,88,13,23.1,.000,5.6,33.3,50.6,42.4,36.8,20.9,
Slater, Austin,596103,2022,325,73,7,27.4,.005,6.8,39.5,45.2,31.1,42.6,26.3,
Story, Trevor,596115,2022,396,85,16,30.8,.017,7.1,40.6,49.8,38.5,36.4,25.1,
Vogelbach, Daniel,596129,2022,461,92,18,24.7,.002,7.7,39.9,32.2,40.7,35.5,23.8,
Sanchez, Gary,596142,2022,471,86,16,28.9,-0.015,5.9,49.3,44,47.9,29.2,22.9,
Kepler, Max,596146,2022,446,88,9,14.8,-0.039,5.2,39.9,46.1,41.7,34.4,23.9,
Franco, Maikel,596748,2022,388,85,9,19.3,-0.014,5.7,34.4,53.6,44.1,33.8,22.1,
Choi, Ji-Man,596847,2022,419,83,11,29.4,-0.003,8.1,47.5,41.7,40.7,35.2,24.2,
Bradley Jr., Jackie,598265,2022,370,70,4,20.8,-0.020,7.4,37.2,49.7,39.8,36.4,23.8,
Candelario, Jeimer,600869,2022,467,93,13,23.3,-0.011,4,34.6,52.6,39.8,33.6,26.5,
Daza, Yonathan,602074,2022,408,112,2,14.2,.019,2.5,25,50.5,34.4,38.4,27.2,
Urias, Ramon,602104,2022,445,100,16,22.0,-0.002,5.4,46.5,49.8,37.8,36.9,25.3,
Anderson, Brian,605119,2022,383,75,8,26.4,-0.007,4.2,42,50.7,38.7,36.1,25.2,
Bell, Josh,605137,2022,647,147,17,15.8,-0.007,3.7,40.8,45.3,37.1,35.7,27.2,
Betts, Mookie,605141,2022,639,154,35,16.3,.015,8.7,44.9,44.2,44.3,34.5,21.2,
Caratini, Victor,605170,2022,314,54,9,21.3,-0.034,5.3,43.5,42.3,33.8,38.6,27.5,
Davis, J.D.,605204,2022,365,79,12,33.4,.003,5.6,56.1,51.3,35.9,38.9,25.3,
Machin, Vimael,605353,2022,253,49,1,18.6,-0.023,7.3,39.1,44.7,29.6,40.2,30.2,
Castro, Harold,605612,2022,443,114,7,17.8,-0.004,7.8,33.3,53.7,32.7,35,32.4,
Tapia, Raimel,606132,2022,433,109,7,18.7,.009,3.3,38,55.4,30.8,39.8,29.3,
Aquino, Aristides,606157,2022,276,51,10,36.6,.017,1.9,34.6,56.6,45.6,32.3,22.2,
Hernandez, Teoscar,606192,2022,535,133,25,28.4,.002,7.5,53.3,48.8,38.6,34.9,26.5,
Marte, Ketel,606466,2022,558,118,12,18.1,-0.011,5.8,41.9,46.1,42.7,35.6,21.7,
Haase, Eric,606992,2022,351,82,14,27.6,.015,7.9,42.4,51.4,41.9,33.2,24.9,
Nimmo, Brandon,607043,2022,673,159,16,17.2,.013,3.6,39.8,43.8,29.6,41.5,28.9,
Peterson, Jace,607054,2022,328,68,8,25.9,.001,5.3,36.1,40.9,38.9,38.5,22.6,
Turner, Trea,607208,2022,708,194,21,18.5,.022,6.5,41.6,51.2,41.4,34.7,23.9,
Stallings, Jacob,607732,2022,384,77,4,21.6,.002,6,32.3,43.7,28.9,38.3,32.7,
Ramirez, Jose,608070,2022,685,168,29,12.0,.025,6.4,36.9,46.3,44.7,34.8,20.5,
Bregman, Alex,608324,2022,656,142,23,11.7,.002,9.4,37.8,40.3,45.1,34.7,20.2,
Gallo, Joey,608336,2022,410,56,19,39.8,-0.009,8,50.5,47.4,48.4,34,17.6,
Kelly, Carson,608348,2022,354,67,7,20.1,-0.014,7.2,36.8,43.6,38.8,39.2,22,
Seager, Corey,608369,2022,663,145,33,15.5,-0.038,9.9,45.5,54.5,39.6,35.6,24.8,
Winker, Jesse,608385,2022,547,100,14,18.8,-0.030,3.1,34.3,43.3,36.5,37.4,26.1,
Reynolds, Matt,608703,2022,272,60,3,28.7,.031,9,42.4,41.5,26.3,42.5,31.1,
Cordero, Franchy,614173,2022,275,53,8,33.5,-0.009,10.4,45.5,48.9,40.3,34.4,25.3,
Reyes, Franmil,614177,2022,473,97,14,33.2,.018,8.5,45.8,47.8,37.7,34.9,27.5,
Swanson, Dansby,621020,2022,696,177,25,26.1,.020,8,46.3,49.4,38.7,36.4,24.9,
Newman, Kevin,621028,2022,309,79,2,15.5,.014,3.3,27.2,48.1,37,42.8,20.2,
Taylor, Chris,621035,2022,454,89,10,35.2,.026,6.1,38,49.9,41.6,32.7,25.7,
Correa, Carlos,621043,2022,590,152,22,20.5,.015,5.7,44.7,44.4,38.5,39.5,22,
Taylor, Tyrone,621438,2022,405,87,17,25.2,-0.003,7.3,37.6,50.9,40.9,38.3,20.8,
Buxton, Byron,621439,2022,382,76,28,30.4,-0.018,7.1,50.2,46.8,54.2,27.6,18.2,
Ward, Taylor,621493,2022,564,139,23,21.3,.013,7.4,42.9,41.4,38.4,36.1,25.5,
Nido, Tomas,621512,2022,313,68,3,24.3,-0.003,8.1,33.3,60.5,26.6,43.7,29.7,
Wisdom, Patrick,621550,2022,534,97,25,34.3,.019,6.2,46.3,48.1,48.1,32.2,19.7,
Wendle, Joey,621563,2022,371,90,3,13.5,.009,5,36.2,53.2,31.6,37.2,31.2,
Olson, Matt,621566,2022,699,148,34,24.3,-0.008,7.6,50.9,49.5,38.7,39.3,22,
