,PLAYERNAME,Trajectory
624414,Christian Arroyo,2
624415,Cavan Biggio,3
624428,Adam Frazier,2
624431,Jose Trevino,2
624503,Nick Gordon,2
624512,Reese McGuire,2
624585,Jorge Soler,2
624641,Edmundo Sosa,2
628338,Guillermo Heredia,2
628450,Yadiel Hernandez,1
628451,Andy Ibanez,3
630105,Jake Cronenworth,3
640457,Austin Meadows,4
640458,Oscar Mercado,3
640461,Chad Pinder,2
641313,Tim Anderson,1
641355,Cody Bellinger,4
641432,Willie Calhoun,2
641470,Zack Collins,4
641487,J.P. Crawford,2
641505,Jonathan Davis,1
641513,Travis Demeritte,2
641531,Hunter Dozier,2
641553,Adam Engel,2
641584,Jake Fraley,2
641598,Mitch Garver,3
641645,Luis Guillorme,1
641658,Garrett Hampson,2
641680,Jonah Heim,3
641684,Michael Hermosillo,3
641779,Charles Leblanc,3
641786,Kyle Lewis,3
641820,Trey Mancini,2
641856,Billy McKinney,3
641857,Ryan McMahon,2
641914,Sheldon Neuse,1
641933,Tyler O'Neill,3
642086,Dominic Smith,2
642133,Rowdy Tellez,2
642136,Matt Thaiss,2
642165,Josh VanMeter,3
642180,Tyler Wade,2
642201,Eli White,3
642336,Francisco Mejia,3
642350,Jose Siri,3
642423,Magneuris Sierra,2
642456,Luis Barrera,2
642708,Amed Rosario,2
642715,Willy Adames,3
642727,Sergio Alcantara,2
642731,Thairo Estrada,2
642851,Austin Wynns,2
643217,Andrew Benintendi,2
643265,Garrett Cooper,2
643289,Mauricio Dubon,3
643376,Danny Jansen,4
643393,Tony Kemp,3
643396,Isiah Kiner-Falefa,1
643446,Jeff McNeil,2
643524,Frank Schwindel,2
644374,Yu Chang,3
645277,Ozzie Albies,3
645302,Victor Robles,3
645801,Mike Ford,3
646240,Rafael Devers,2
647304,Josh Naylor,2
647351,Abraham Toro,3
649557,Aledmys Diaz,2
649966,Luis Urias,3
650331,Lewin Diaz,3
650333,Luis Arraez,2
650339,Jermaine Palacios,1
650391,Eloy Jimenez,2
650402,Gleyber Torres,3
650489,Willi Castro,2
650490,Yandy Diaz,2
650559,Bryan De La Cruz,2
650619,Meibrys Viloria,2
650859,Luis Rengifo,2
650907,Rene Pinto,2
656180,Riley Adams,2
656185,Greg Allen,2
656248,Sean Bouchard,3
656305,Matt Chapman,3
656308,Michael Chavis,2
656413,Stuart Fairchild,2
656448,Stone Garrett,4
656537,Derek Hill,2
656541,Sam Hilliard,2
656555,Rhys Hoskins,3
656582,Connor Joe,2
656669,Jordan Luplow,3
656716,Zach McKinstry,2
656775,Cedric Mullins,3
656811,Ryan O'Hearn,2
656896,Emmanuel Rivera,2
656941,Kyle Schwarber,3
656976,Pavin Smith,2
657041,Lane Thomas,2
657061,Cole Tucker,2
657077,Alex Verdugo,2
657557,Paul DeJong,3
657656,Ramon Laureano,2
657757,Gavin Sheets,2
658668,Edward Olivares,2
660162,Yoan Moncada,2
660271,Shohei Ohtani,2
660271,Shohei Ohtani,2
660294,Yoshitomo Tsutsugo,2
660636,Diego Castillo,2
660644,Vidal Brujan,2
660650,Dermis Garcia,2
660670,Ronald Acuna,2
660688,Keibert Ruiz,3
660707,Elehuris Montero,2
660757,Oscar Gonzalez,2
660766,Juan Yepez,3
660821,Jesus Sanchez,2
660829,Hoy Park,2
661388,William Contreras,2
661531,Brian Serven,2
662139,Daulton Varsho,3
663457,Lars Nootbaar,2
663538,Nico Hoerner,2
663586,Austin Riley,2
663611,Nick Madrigal,1
663616,Trevor Larnach,2
663624,Ryan Mountcastle,3
663630,Ryan McKenna,2
663647,Ke'Bryan Hayes,1
663656,Kyle Tucker,3
663662,Daz Cameron,2
663697,Jonathan India,2
663698,Joey Bart,3
663728,Cal Raleigh,4
663757,Trent Grisham,2
663837,Matt Vierling,2
663845,Alfonso Rivas,1
663853,Romy Gonzalez,1
663886,Tyler Stephenson,2
663897,Luke Williams,2
663898,Brendan Rodgers,2
663993,Nate Lowe,2
664023,Ian Happ,2
664029,Mark Mathias,2
664034,Ty France,2
664040,Brandon Lowe,3
664056,Harrison Bader,3
664058,David Fletcher,2
664059,Sam Haggerty,2
664238,Dylan Moore,4
664247,Kyle Garlick,3
664702,Myles Straw,2
664728,Kyle Isbel,2
664761,Alec Bohm,2
664774,LaMonte Wade,4
664874,Seby Zavala,4
664901,Danny Mendick,2
664913,Seth Brown,3
664983,Jake McCarthy,2
665019,Kody Clemens,3
665120,Jared Walsh,2
665155,Nick Maton,3
665161,Jeremy Pena,2
665482,Gilberto Celestino,1
665489,Vladimir Guerrero Jr.,2
665506,Cristian Pache,1
665742,Juan Soto,2
665750,Leody Taveras,2
665828,Oswaldo Cabrera,4
665833,Oneil Cruz,2
665862,Jazz Chisholm,2
665926,Andres Gimenez,2
666018,Jonathan Aranda,2
666134,Nolan Jones,3
666135,Alex Kirilloff,2
666139,Josh Lowe,2
666158,Gavin Lux,2
666160,Mickey Moniak,3
666176,Jo Adell,3
666179,Seth Beer,2
666182,Bo Bichette,2
666185,Dylan Carlson,2
666211,Taylor Trammell,3
666464,Jerar Encarnacion,2
666624,Christopher Morel,2
666801,Rodolfo Castro,2
666915,Bobby Dalbec,3
666969,Adolis Garcia,2
666971,Lourdes Gurriel,2
668227,Randy Arozarena,2
668472,Nick Pratto,3
