last_name, first_name,player_id,year,b_total_pa,launch_angle_avg,
Holt, Brock,571788,2021,260,9.8,
Lamb, Jake,571875,2021,170,18.3,
Muncy, Max,571970,2021,592,15.2,
Myers, Wil,571976,2021,500,10.6,
Naquin, Tyler,571980,2021,454,9.6,
Owings, Chris,572008,2021,50,13.8,
Piscotty, Stephen,572039,2021,188,17.5,
Pollock, AJ,572041,2021,422,12,
Seager, Kyle,572122,2021,670,19.5,
Taylor, Michael A.,572191,2021,528,12.1,
Voit III, Luke,572228,2021,241,15.9,
Walker, Christian,572233,2021,445,15.6,
Zunino, Mike,572287,2021,375,23.2,
Carpenter, Matt,572761,2021,249,21.1,
Dickerson, Corey,572816,2021,365,10.1,
Garneau, Dustin,572863,2021,68,19.2,
Ruf, Darin,573131,2021,312,9.8,
Stroman, Marcus,573186,2021,58,-2.9,
Yastrzemski, Mike,573262,2021,532,19.4,
Contreras, Willson,575929,2021,483,9.6,
Iglesias, Jose,578428,2021,511,11.5,
Torreyes, Ronald,591720,2021,344,12.2,
Valera, Breyvic,591971,2021,97,15.3,
Bryant, Kris,592178,2021,586,15.1,
Canha, Mark,592192,2021,625,13.5,
Casali, Curt,592200,2021,231,23.3,
Castellanos, Nick,592206,2021,585,14,
DeShields, Delino,592261,2021,58,13,
Drury, Brandon,592273,2021,88,11.7,
Gamel, Ben,592325,2021,400,16.7,
Gausman, Kevin,592332,2021,62,-5.4,
Goodrum, Niko,592348,2021,325,13.4,
Gray, Jon,592351,2021,50,20.5,
Jones, JaCoby,592444,2021,105,10.3,
Judge, Aaron,592450,2021,633,11.6,
Machado, Manny,592518,2021,640,14,
Marmolejos, Jose,592530,2021,122,22.7,
Moran, Colin,592567,2021,359,7.2,
Pederson, Joc,592626,2021,481,14.1,
Ramos, Henry,592656,2021,55,13.7,
Realmuto, J.T.,592663,2021,537,11.5,
Renfroe, Hunter,592669,2021,572,15.6,
Rosario, Eddie,592696,2021,412,15.5,
Simmons, Andrelton,592743,2021,451,3.9,
