last_name, first_name,player_id,year,b_total_pa,iz_contact_percent,in_zone_swing,
Renfroe, Hunter,592669,2022,522,81.3,624,
Rosario, Eddie,592696,2022,270,77.6,312,
Simmons, Andrelton,592743,2022,85,84,94,
Yelich, Christian,592885,2022,671,85,854,
Merrifield, Whit,593160,2022,550,85.6,730,
Bogaerts, Xander,593428,2022,631,81.4,765,
Alberto, Hanser,593643,2022,159,80.4,194,
Polanco, Jorge,593871,2022,445,81.7,557,
Sano, Miguel,593934,2022,71,75.3,97,
Calhoun, Kole,594777,2022,424,72.5,600,
Duvall, Adam,594807,2022,315,78.6,402,
Gosselin, Phil,594838,2022,77,78.8,85,
Kiermaier, Kevin,595281,2022,221,78.8,316,
Alfaro, Jorge,595751,2022,274,72.1,390,
Profar, Jurickson,595777,2022,658,85.5,881,
Baez, Javier,595879,2022,590,77.8,580,
Cave, Jake,595909,2022,177,72.9,247,
Hedges, Austin,595978,2022,338,80.8,416,
Lindor, Francisco,596019,2022,706,85.4,903,
Odor, Rougned,596059,2022,472,79.2,601,
Slater, Austin,596103,2022,325,75.7,411,
Story, Trevor,596115,2022,396,78.5,506,
Stubbs, Garrett,596117,2022,121,85.4,123,
Vogelbach, Daniel,596129,2022,461,86.2,448,
Sanchez, Gary,596142,2022,471,79.5,546,
Kepler, Max,596146,2022,446,87.2,561,
Quinn, Roman,596451,2022,87,71.3,122,
Franco, Maikel,596748,2022,388,78.2,491,
Choi, Ji-Man,596847,2022,419,75.3,570,
Bradley Jr., Jackie,598265,2022,370,74.8,497,
La Stella, Tommy,600303,2022,195,89.8,216,
Candelario, Jeimer,600869,2022,467,81.6,602,
Daza, Yonathan,602074,2022,408,87,493,
Urias, Ramon,602104,2022,445,79,581,
Ahmed, Nick,605113,2022,54,86.8,76,
Anderson, Brian,605119,2022,383,76.8,551,
Barnes, Austin,605131,2022,212,86.2,297,
Bell, Josh,605137,2022,647,83.6,804,
Betts, Mookie,605141,2022,639,91.7,798,
Caratini, Victor,605170,2022,314,88.6,378,
Davis, J.D.,605204,2022,365,67.5,575,
Garcia, Aramis,605244,2022,115,77.4,164,
Machin, Vimael,605353,2022,253,89.3,307,
Perez, Michael,605421,2022,132,80.8,151,
Zimmer, Bradley,605548,2022,117,70.1,157,
Castro, Harold,605612,2022,443,86.4,544,
Arcia, Orlando,606115,2022,234,83.7,282,
Tapia, Raimel,606132,2022,433,85.1,523,
Aquino, Aristides,606157,2022,276,72.8,383,
Hernandez, Teoscar,606192,2022,535,74.9,688,
Mercedes, Yermin,606213,2022,83,80.6,108,
Marte, Ketel,606466,2022,558,83.4,679,
Haase, Eric,606992,2022,351,76.7,443,
Hager, Jake,606993,2022,59,75.6,78,
Nimmo, Brandon,607043,2022,673,85.9,932,
Peterson, Jace,607054,2022,328,81.1,418,
Turner, Trea,607208,2022,708,84.5,907,
Stallings, Jacob,607732,2022,384,87.3,449,
Ramirez, Jose,608070,2022,685,90.1,849,
Bregman, Alex,608324,2022,656,90.5,777,
Gallo, Joey,608336,2022,410,68.4,566,
Kelly, Carson,608348,2022,354,86.2,449,
Seager, Corey,608369,2022,663,85.1,875,
Winker, Jesse,608385,2022,547,85.4,756,
Mazara, Nomar,608577,2022,171,80.5,221,
Jankowski, Travis,608671,2022,64,90.5,74,
Mayfield, Jack,608686,2022,74,84.1,82,
Plawecki, Kevin,608700,2022,186,87.2,227,
Refsnyder, Rob,608701,2022,177,79.6,221,
Reynolds, Matt,608703,2022,272,84.7,300,
Meneses, Joey,608841,2022,240,83.6,311,
Mondesi, Adalberto,609275,2022,54,63.6,77,
Andujar, Miguel,609280,2022,140,83.4,157,
Vosler, Jason,613564,2022,111,82,128,
Cordero, Franchy,614173,2022,275,72.1,355,
Reyes, Franmil,614177,2022,473,74.8,614,
Torrens, Luis,620443,2022,166,84.2,234,
Swanson, Dansby,621020,2022,696,76.2,998,
Newman, Kevin,621028,2022,309,90.3,352,
Taylor, Chris,621035,2022,454,67.6,769,
Correa, Carlos,621043,2022,590,84.7,734,
Phillips, Brett,621433,2022,225,65.5,333,
Taylor, Tyrone,621438,2022,405,84.1,534,
Buxton, Byron,621439,2022,382,75,513,
Bolt, Skye,621450,2022,116,78,159,
Duggar, Steven,621453,2022,80,69.8,106,
Rios, Edwin,621458,2022,92,71.1,121,
Ward, Taylor,621493,2022,564,83.9,716,
Nido, Tomas,621512,2022,313,69.5,406,
Bemboom, Anthony,621532,2022,59,82.5,80,
Wisdom, Patrick,621550,2022,534,73.7,768,
Wendle, Joey,621563,2022,371,89.2,427,
Olson, Matt,621566,2022,699,76.6,993,
Duffy, Matt,622110,2022,247,88.2,313,
Munoz, Yairo,622168,2022,60,85.5,83,
Walton, Donovan,622268,2022,78,91.3,104,
Margot, Manuel,622534,2022,363,83.4,501,
Camargo, Johan,622666,2022,166,80.8,213,
Reyes, Victor,622682,2022,336,73.9,426,
Mateo, Jorge,622761,2022,533,78.1,693,
Heineman, Tyler,623168,2022,174,88,225,
Velazquez, Andrew,623205,2022,349,70.4,524,
Bote, David,623520,2022,127,79.1,153,
Ramirez, Harold,623912,2022,435,83.5,541,
Santander, Anthony,623993,2022,647,86,792,
Alonso, Pete,624413,2022,685,84.3,778,
Arroyo, Christian,624414,2022,300,90.1,382,
Biggio, Cavan,624415,2022,303,80.3,416,
Frazier, Adam,624428,2022,602,90.6,756,
Trevino, Jose,624431,2022,353,84.8,368,
Gordon, Nick,624503,2022,443,79.6,624,
McGuire, Reese,624512,2022,274,87.7,310,
Soler, Jorge,624585,2022,306,76.9,411,
Sosa, Edmundo,624641,2022,190,82.6,218,
Heredia, Guillermo,628338,2022,82,70,130,
Hernandez, Yadiel,628450,2022,327,76.3,459,
Ibanez, Andy,628451,2022,128,89.8,157,
Cronenworth, Jake,630105,2022,684,88.6,840,
Meadows, Austin,640457,2022,147,91.5,177,
Mercado, Oscar,640458,2022,128,83.1,189,
Pinder, Chad,640461,2022,379,72.5,546,
Azocar, Jose,640492,2022,216,79.9,269,
Anderson, Tim,641313,2022,351,84.6,415,
Bellinger, Cody,641355,2022,550,77.5,785,
Calhoun, Willie,641432,2022,62,87.9,66,
Collins, Zack,641470,2022,108,74.8,151,
Crawford, J.P.,641487,2022,603,90.4,770,
Davis, Jonathan,641505,2022,91,81.4,113,
Delay, Jason,641511,2022,167,75.9,261,
Demeritte, Travis,641513,2022,96,65.8,120,
Dozier, Hunter,641531,2022,500,85.2,634,
Engel, Adam,641553,2022,260,75.8,327,
Fraley, Jake,641584,2022,247,84,324,
Garver, Mitch,641598,2022,215,80.3,300,
Guillorme, Luis,641645,2022,335,91,421,
Hampson, Garrett,641658,2022,226,81.3,273,
Heim, Jonah,641680,2022,450,84.3,626,
Hermosillo, Michael,641684,2022,73,72.5,91,
Leblanc, Charles,641779,2022,169,85.3,211,
Lewis, Kyle,641786,2022,62,70,80,
Mancini III, Trey,641820,2022,587,81.3,770,
McKinney, Billy,641856,2022,57,81,79,
McMahon, Ryan,641857,2022,597,79.1,844,
Neuse, Sheldon,641914,2022,293,84,405,
O'Neill, Tyler,641933,2022,383,76.3,527,
Robinson, Chuckie,642020,2022,60,83.8,80,
Smith, Dominic,642086,2022,152,84.7,183,
Tellez, Rowdy,642133,2022,599,83.3,706,
Thaiss, Matt,642136,2022,81,74.1,112,
VanMeter, Josh,642165,2022,192,85.7,244,
Wade, Tyler,642180,2022,163,82,217,
White, Eli,642201,2022,117,68.2,157,
Mejia, Francisco,642336,2022,299,85,367,
Siri, Jose,642350,2022,325,73.2,407,
Sierra, Magneuris,642423,2022,96,79,124,
Barrera, Luis,642456,2022,85,82.5,114,
Rosario, Amed,642708,2022,670,84.6,781,
Adames, Willy,642715,2022,617,79.9,837,
Alcantara, Sergio,642727,2022,224,83.9,280,
Estrada, Thairo,642731,2022,541,87.5,633,
Wynns, Austin,642851,2022,177,86.6,201,
Benintendi, Andrew,643217,2022,521,81.7,712,
Cooper, Garrett,643265,2022,469,83.2,553,
Dubon, Mauricio,643289,2022,265,86,343,
Jansen, Danny,643376,2022,248,83.2,339,
Kemp, Tony,643393,2022,558,89.7,702,
Kiner-Falefa, Isiah,643396,2022,531,93.8,577,
McNeil, Jeff,643446,2022,589,87.1,814,
Schwindel, Frank,643524,2022,292,79.3,401,
Chang, Yu,644374,2022,190,81,252,
Albies, Ozzie,645277,2022,269,84.9,337,
Robles, Victor,645302,2022,407,78.5,536,
Herrera, Jose,645444,2022,124,83,147,
Ford, Mike,645801,2022,149,85.2,149,
Devers, Rafael,646240,2022,614,77.7,781,
Naylor, Josh,647304,2022,498,87.1,583,
Toro, Abraham,647351,2022,352,84.7,426,
Diaz, Aledmys,649557,2022,327,83.7,412,
Urias, Luis,649966,2022,472,80.4,624,
Diaz, Lewin,650331,2022,174,80.5,210,
Arraez, Luis,650333,2022,603,93.9,732,
Palacios, Jermaine,650339,2022,77,74.8,115,
Jimenez, Eloy,650391,2022,327,77.5,378,
Torres, Gleyber,650402,2022,572,77.7,791,
Castro, Willi,650489,2022,392,81,547,
Diaz, Yandy,650490,2022,558,90.4,677,
De La Cruz, Bryan,650559,2022,355,78.7,447,
Viloria, Meibrys,650619,2022,75,66.3,101,
Rengifo, Luis,650859,2022,511,85.8,690,
Pinto, Rene,650907,2022,83,73,122,
Adams, Riley,656180,2022,155,81.5,168,
Allen, Greg,656185,2022,134,76.8,181,
Bouchard, Sean,656248,2022,97,77.4,115,
Chapman, Matt,656305,2022,621,76,847,
Chavis, Michael,656308,2022,426,79.1,579,
Fairchild, Stuart,656413,2022,110,72.6,168,
Garrett, Stone,656448,2022,84,69.4,121,
Hill, Derek,656537,2022,92,77.5,102,
Hilliard, Sam,656541,2022,200,70.9,296,
Hoskins, Rhys,656555,2022,672,82.7,875,
Joe, Connor,656582,2022,467,85.2,567,
Luplow, Jordan,656669,2022,234,77.1,358,
Matijevic, J.J.,656695,2022,71,78.7,89,
McKinstry, Zach,656716,2022,185,86.6,253,
Mullins II, Cedric,656775,2022,672,81.9,912,
O'Hearn, Ryan,656811,2022,145,86.8,189,
Rivera, Emmanuel,656896,2022,359,83.8,475,
Schwarber, Kyle,656941,2022,669,77.1,847,
Smith, Pavin,656976,2022,277,85.7,300,
Thomas, Lane,657041,2022,548,85.3,695,
Tucker, Cole,657061,2022,63,80.4,92,
Verdugo, Alex,657077,2022,644,90.4,830,
Wong, Connor,657136,2022,56,79.7,69,
DeJong, Paul,657557,2022,237,73.2,339,
Laureano, Ramon,657656,2022,383,79.7,482,
Papierski, Michael,657709,2022,103,85.8,120,
Sheets, Gavin,657757,2022,410,84.5,515,
Olivares, Edward,658668,2022,174,82.1,235,
Moncada, Yoan,660162,2022,433,81.5,569,
Ohtani, Shohei,660271,2022,666,76.9,878,
Tsutsugo, Yoshi,660294,2022,193,86.3,263,
Castillo, Diego,660636,2022,283,81,327,
Brujan, Vidal,660644,2022,162,85.9,206,
Garcia, Dermis,660650,2022,125,67.6,188,
Acuna Jr., Ronald,660670,2022,533,80.4,762,
Ruiz, Keibert,660688,2022,433,91,532,
Montero, Elehuris,660707,2022,185,78.3,226,
Gonzalez, Oscar,660757,2022,382,82.1,480,
Yepez, Juan,660766,2022,274,83.7,363,
Sanchez, Jesus,660821,2022,343,81,415,
Park, Hoy,660829,2022,60,82.4,68,
Contreras, William,661388,2022,376,74.2,450,
Serven, Brian,661531,2022,205,78.9,285,
Varsho, Daulton,662139,2022,592,78.2,834,
Nootbaar, Lars,663457,2022,347,80.5,394,
Nevin, Tyler,663527,2022,184,81.5,265,
Hoerner, Nico,663538,2022,517,92.6,579,
Riley, Austin,663586,2022,693,81.3,943,
Madrigal, Nick,663611,2022,228,93.4,259,
Larnach, Trevor,663616,2022,180,73.3,206,
Mountcastle, Ryan,663624,2022,609,78,824,
McKenna, Ryan,663630,2022,172,72.8,235,
Hayes, Ke'Bryan,663647,2022,560,89.3,647,
Tucker, Kyle,663656,2022,609,86.5,894,
Cameron, Daz,663662,2022,70,80,90,
India, Jonathan,663697,2022,431,84.9,510,
Bart, Joey,663698,2022,291,70.4,368,
Raleigh, Cal,663728,2022,415,75.4,589,
Fortes, Nick,663743,2022,240,85.6,271,
Grisham, Trent,663757,2022,524,78.5,633,
Vierling, Matt,663837,2022,357,86.9,434,
Rivas III, Alfonso,663845,2022,287,84,369,
Gonzalez, Romy,663853,2022,109,71.5,144,
Stephenson, Tyler,663886,2022,183,82.4,227,
