last_name, first_name,player_id,year,b_total_pa,hp_to_1b,
Gosselin, Phil,594838,2022,77,4.35,
Kiermaier, Kevin,595281,2022,221,4.12,
Alfaro, Jorge,595751,2022,274,4.41,
Profar, Jurickson,595777,2022,658,4.47,
Baez, Javier,595879,2022,590,4.35,
Cave, Jake,595909,2022,177,4.31,
Hedges, Austin,595978,2022,338,4.95,
Lindor, Francisco,596019,2022,706,4.44,
Odor, Rougned,596059,2022,472,4.39,
Slater, Austin,596103,2022,325,4.37,
Story, Trevor,596115,2022,396,4.33,
Stubbs, Garrett,596117,2022,121,4.41,
Vogelbach, Daniel,596129,2022,461,4.9,
Sanchez, Gary,596142,2022,471,4.72,
Kepler, Max,596146,2022,446,4.34,
Quinn, Roman,596451,2022,87,,
Franco, Maikel,596748,2022,388,4.88,
Choi, Ji-Man,596847,2022,419,4.57,
Bradley Jr., Jackie,598265,2022,370,4.42,
La Stella, Tommy,600303,2022,195,4.67,
Candelario, Jeimer,600869,2022,467,4.51,
Daza, Yonathan,602074,2022,408,4.35,
Urias, Ramon,602104,2022,445,4.66,
Ahmed, Nick,605113,2022,54,4.47,
Anderson, Brian,605119,2022,383,4.44,
Barnes, Austin,605131,2022,212,4.66,
Bell, Josh,605137,2022,647,4.62,
Betts, Mookie,605141,2022,639,4.45,
Caratini, Victor,605170,2022,314,4.85,
Davis, J.D.,605204,2022,365,4.71,
Garcia, Aramis,605244,2022,115,4.69,
Machin, Vimael,605353,2022,253,4.71,
Perez, Michael,605421,2022,132,4.93,
Zimmer, Bradley,605548,2022,117,4.23,
Castro, Harold,605612,2022,443,4.5,
Arcia, Orlando,606115,2022,234,4.69,
Tapia, Raimel,606132,2022,433,4.27,
Aquino, Aristides,606157,2022,276,4.42,
Hernandez, Teoscar,606192,2022,535,4.33,
Mercedes, Yermin,606213,2022,83,,
Marte, Ketel,606466,2022,558,4.46,
Haase, Eric,606992,2022,351,4.5,
Hager, Jake,606993,2022,59,4.61,
Nimmo, Brandon,607043,2022,673,4.18,
Peterson, Jace,607054,2022,328,4.25,
Turner, Trea,607208,2022,708,4.13,
Stallings, Jacob,607732,2022,384,5.04,
Ramirez, Jose,608070,2022,685,4.22,
Bregman, Alex,608324,2022,656,4.62,
Gallo, Joey,608336,2022,410,4.58,
Kelly, Carson,608348,2022,354,4.82,
Seager, Corey,608369,2022,663,4.67,
Winker, Jesse,608385,2022,547,4.67,
Mazara, Nomar,608577,2022,171,4.57,
Jankowski, Travis,608671,2022,64,4.18,
Mayfield, Jack,608686,2022,74,4.42,
