last_name, first_name,player_id,year,sl_avg_speed,sl_avg_break,ch_avg_speed,ch_avg_break,cu_avg_speed,cu_avg_break,si_avg_speed,si_avg_break,fc_avg_spin,fc_avg_break,fs_avg_speed,fs_avg_break,
Lyles, Jordan,543475,2022,80,17.1,86.3,15.9,79.1,16.6,90.8,18.4,2440,6.4,,,
McHugh, Collin,543521,2022,80.2,16.6,,,74.5,18,,,2511,9,,,
Odorizzi, Jake,543606,2022,82.6,7.8,,,71.9,13.4,,,2077,12.8,85.1,13.8,
Shaw, Bryan,543766,2022,84.3,10.6,81.8,11.3,82.7,14.6,92.4,12.6,2411,10.1,,,
Banuelos, Manny,544365,2022,85.8,6.7,83.1,16.8,81.7,10.7,93.4,18,,,,,
Familia, Jeurys,544727,2022,88.7,6.8,,,,,95.2,16,,,92.5,16.9,
Lorenzen, Michael,547179,2022,83.4,10.7,85.7,19.1,81.3,15.7,93.9,19.2,2496,9.1,,,
Chapman, Aroldis,547973,2022,85.7,12.4,,,,,100.2,20.2,,,88.1,5.2,
Raley, Brooks,548384,2022,81.4,18.8,85.5,17.4,80,17.3,90.7,17.2,2551,8.6,,,
Stripling, Ross,548389,2022,87.1,8.1,82.6,15.3,76.1,13.7,89.9,19,,,,,
Garcia, Yimi,554340,2022,89.4,8.5,87.2,18.8,82.4,12.1,93.8,18.8,,,,,
Wheeler, Zack,554430,2022,90.6,7.6,89.5,17.4,81.3,13.9,95.4,19.9,,,,,
Matzek, Tyler,554431,2022,83.2,10.1,,,77.7,16,,,,,,,
Rodriguez, Joely,570257,2022,83.9,5.9,87.8,11.8,,,92.7,18.6,,,,,
Urena, Jose,570632,2022,86.8,6.8,90.2,14.9,,,95.6,16.4,,,,,
Cessa, Luis,570666,2022,82.9,7.6,87.9,13.2,,,93.6,18.2,,,,,
Bellatti, Andrew,571479,2022,85.9,5.6,89.5,17.9,,,,,,,,,
Corbin, Patrick,571578,2022,81.7,3.8,82.5,16.3,74.2,2.9,92.9,18.7,,,,,
Farmer, Buck,571656,2022,83.3,8.2,88.7,14.5,,,,,,,,,
Floro, Dylan,571670,2022,84.1,5.3,85.2,17.3,,,92.6,19.5,,,,,
Givens, Mychal,571710,2022,84.7,7,82.1,10,,,,,,,,,
Heaney, Andrew,571760,2022,83.4,4.9,85,18.1,,,,,,,,,
Hutchison, Drew,571800,2022,86,5.2,86.5,16.6,,,92.7,18.5,,,,,
Loup, Aaron,571901,2022,,,80.3,17.9,76,16.7,91.2,19.4,2323,3.2,,,
Matz, Steven,571927,2022,89.6,9,85.1,15.5,78,17.7,94.5,19.8,,,,,
Mikolas, Miles,571945,2022,87.7,6.2,82.7,15.5,76.2,17.8,93,18.4,,,,,
Milner, Hoby,571948,2022,,,81.3,17.4,79.5,13.6,88.9,18.6,,,,,
