last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
Franco, Maikel,596748,2022,388,,
Choi, Ji-Man,596847,2022,419,,
Bradley Jr., Jackie,598265,2022,370,,
La Stella, Tommy,600303,2022,195,,
Candelario, Jeimer,600869,2022,467,,
Daza, Yonathan,602074,2022,408,,
Urias, Ramon,602104,2022,445,,
Ahmed, Nick,605113,2022,54,,
Anderson, Brian,605119,2022,383,,
Barnes, Austin,605131,2022,212,2.06,
Bell, Josh,605137,2022,647,,
Betts, Mookie,605141,2022,639,,
Caratini, Victor,605170,2022,314,2.01,
Davis, J.D.,605204,2022,365,,
Garcia, Aramis,605244,2022,115,1.95,
Machin, Vimael,605353,2022,253,,
Perez, Michael,605421,2022,132,2,
Zimmer, Bradley,605548,2022,117,,
Castro, Harold,605612,2022,443,,
Arcia, Orlando,606115,2022,234,,
Tapia, Raimel,606132,2022,433,,
Aquino, Aristides,606157,2022,276,,
Hernandez, Teoscar,606192,2022,535,,
Mercedes, Yermin,606213,2022,83,,
Marte, Ketel,606466,2022,558,,
Haase, Eric,606992,2022,351,1.94,
Hager, Jake,606993,2022,59,,
Nimmo, Brandon,607043,2022,673,,
Peterson, Jace,607054,2022,328,,
Turner, Trea,607208,2022,708,,
Stallings, Jacob,607732,2022,384,2,
Ramirez, Jose,608070,2022,685,,
Bregman, Alex,608324,2022,656,,
Gallo, Joey,608336,2022,410,,
Kelly, Carson,608348,2022,354,1.98,
Seager, Corey,608369,2022,663,,
Winker, Jesse,608385,2022,547,,
Mazara, Nomar,608577,2022,171,,
Jankowski, Travis,608671,2022,64,,
Mayfield, Jack,608686,2022,74,,
Plawecki, Kevin,608700,2022,186,2.11,
Refsnyder, Rob,608701,2022,177,,
Reynolds, Matt,608703,2022,272,,
Meneses, Joey,608841,2022,240,,
Mondesi, Adalberto,609275,2022,54,,
Andujar, Miguel,609280,2022,140,,
Vosler, Jason,613564,2022,111,,
Cordero, Franchy,614173,2022,275,,
Reyes, Franmil,614177,2022,473,,
