,PLAYERNAME,Top Speed
622554,Seranthony Dominguez,100.0
622608,Antonio Senzatela,96.0
622663,Luis Severino,98.0
622694,Elieser Hernandez,93.0
623149,Paul Sewald,94.0
623167,Chris Flexen,93.0
623352,Josh Hader,98.0
623451,Jackson Stephens,95.0
623465,Evan Phillips,97.0
623474,,94.0
624133,Ranger Suarez,95.0
624522,Keegan Thompson,95.0
625643,Reynaldo Lopez,98.0
628452,Raisel Iglesias,97.0
628708,,99.0
628711,Julio Urias,95.0
640444,Wil Crowe,96.0
640448,Kyle Finnegan,98.0
640451,Hunter Harvey,99.0
640455,Sean Manaea,93.0
640462,A.J. Puk,98.0
641154,Pablo Lopez,95.0
641302,Tyler Alexander,91.0
641329,,98.0
641360,Phil Bickford,95.0
641401,Connor Brogdon,97.0
641447,Daniel Castano,94.0
641482,Nestor Cortes,93.0
641501,,93.0
641540,Dane Dunning,91.0
641582,Matt Foster,95.0
641627,Trevor Gott,96.0
641712,Dakota Hudson,93.0
641726,Daulton Jefferies,94.0
641729,Joe Jimenez,96.0
641745,Brad Keller,96.0
641771,Chad Kuhl,95.0
641778,Eric Lauer,94.0
641793,Zack Littell,96.0
641816,Tyler Mahle,95.0
641835,Tim Mayza,95.0
641927,Bailey Ober,93.0
641941,Emilio Pagan,97.0
642152,Lou Trivino,97.0
642207,Devin Williams,96.0
642232,Ryan Yarbrough,88.0
642397,Gregory Soto,100.0
642528,Jonathan Loaisiga,100.0
642545,Jaime Barria,94.0
642547,Freddy Peralta,95.0
642585,Felix Bautista,101.0
642701,Dennis Santana,98.0
642758,Domingo Acevedo,94.0
643256,Adam Cimber,88.0
643377,Griffin Jax,95.0
643410,Mark Leiter,92.0
643493,Austin Pruitt,92.0
643511,Tyler Rogers,85.0
644364,Victor Arano,96.0
645261,Sandy Alcantara,99.0
647315,,97.0
650556,Bryan Abreu,98.0
650633,Michael King,97.0
650644,Aaron Civale,93.0
650671,Jose Quijada,96.0
650893,Genesis Cabrera,98.0
650895,Diego Castillo,97.0
650911,,94.0
656061,Albert Abreu,100.0
656222,Jalen Beeks,96.0
656234,,96.0
656271,Brock Burke,96.0
656302,Dylan Cease,98.0
656353,Tucker Davidson,95.0
656354,,96.0
656412,Alex Faedo,94.0
656427,Jack Flaherty,95.0
656458,,95.0
656529,Sam Hentges,97.0
656546,Jeff Hoffman,96.0
656557,Tanner Houck,96.0
656605,Mitch Keller,97.0
656629,Michael Kopech,97.0
656638,,97.0
656657,Zach Logue,91.0
656685,Brett Martin,95.0
656730,,100.0
656731,Tylor Megill,97.0
656756,Jordan Montgomery,94.0
656793,,97.0
656849,David Peterson,95.0
656876,Drew Rasmussen,97.0
656945,Tanner Scott,98.0
656970,Devin Smeltzer,91.0
657006,Justin Steele,94.0
657024,Erik Swanson,95.0
657044,Ryan Thompson,93.0
657093,Spenser Watkins,92.0
657140,Kyle Wright,96.0
657248,Glenn Otto,94.0
657277,Logan Webb,94.0
657376,Clarke Schmidt,96.0
657612,Tim Hill,93.0
657649,Jared Koenig,91.0
657746,Joe Ryan,94.0
660271,Shohei Ohtani,99.0
660271,Shohei Ohtani,99.0
660761,Jose Suarez,94.0
660813,Brusdar Graterol,101.0
660853,Enyel De Los Santos,96.0
661269,Vladimir Gutierrez,94.0
661309,Adrian Martinez,95.0
661395,Jhoan Duran,102.0
661403,Emmanuel Clase,101.0
661527,,93.0
662253,Andres Munoz,102.0
663158,Robert Suarez,100.0
663372,Ryan Feltner,96.0
663423,Trent Thornton,95.0
663436,Davis Martin,96.0
663455,Konnor Pilkington,94.0
663460,Kris Bubic,93.0
663474,Triston McKenzie,94.0
663556,Shane McClanahan,98.0
663558,,95.0
663559,Bailey Falter,92.0
663738,Daniel Lynch,95.0
663765,Jake Woodford,94.0
663776,Patrick Sandoval,95.0
663855,Jordan Hicks,102.0
663903,Brady Singer,95.0
663986,Trevor Stephan,98.0
664062,Tony Gonsolin,95.0
664123,,92.0
664139,,97.0
664141,JT Brubaker,94.0
664161,Matt Swarmer,92.0
664199,Taylor Clarke,97.0
664208,Phil Maton,92.0
664285,Framber Valdez,95.0
664294,,98.0
664299,Cristian Javier,95.0
664353,Jose Urquidy,95.0
664747,Alexis Diaz,97.0
664854,Ryan Helsley,101.0
664875,,97.0
665152,Dean Kremer,95.0
665621,Rony Garcia,94.0
665665,Reiver Sanmartin,93.0
665795,Edward Cabrera,97.0
665871,Javier Assad,94.0
666120,Ian Anderson,95.0
666129,Braxton Garrett,92.0
666142,Cole Ragans,93.0
666157,Nick Lodolo,95.0
666159,Matt Manning,95.0
666200,Jesus Luzardo,98.0
666201,Alek Manoah,95.0
666374,Matt Brash,99.0
666721,Max Castillo,94.0
666808,Camilo Doval,101.0
667297,,95.0
667427,Zach Jackson,96.0
667463,,94.0
668676,Zach Plesac,94.0
668678,Zac Gallen,95.0
668881,Hunter Greene,101.0
668933,Graham Ashcraft,99.0
668948,,94.0
669022,MacKenzie Gore,96.0
669060,Bryse Wilson,94.0
669145,Bruce Zimmermann,92.0
669169,Jonathan Heasley,95.0
669203,Corbin Burnes,98.0
669211,Keegan Akin,94.0
669212,Eli Morgan,93.0
669270,,98.0
669276,,94.0
669302,Logan Gilbert,97.0
669330,Tyler Wells,95.0
669373,Tarik Skubal,96.0
669395,,99.0
669424,,96.0
669432,Trevor Rogers,96.0
669456,Shane Bieber,93.0
669459,,93.0
669461,Matthew Liberatore,96.0
669467,Andre Pallante,96.0
669674,Sammy Long,95.0
669912,,95.0
669920,Jason Alexander,94.0
669923,George Kirby,97.0
669952,Mitch White,96.0
670036,,94.0
670124,Adam Oller,95.0
670167,John Schreiber,96.0
670174,,95.0
670280,David Bednar,98.0
670912,Johan Oviedo,98.0
670950,Trevor Richards,94.0
670990,Yohan Ramirez,97.0
671345,,98.0
672282,Reid Detmers,95.0
672335,Cionel Perez,98.0
672578,Carlos Hernandez,99.0
672710,Roansy Contreras,97.0
672851,Joan Adon,96.0
674072,Tommy Henry,93.0
675911,Spencer Strider,100.0
675916,James Karinchak,96.0
675921,Spencer Howard,96.0
676092,,97.0
676265,Cory Abbott,93.0
676477,Garrett Whitlock,97.0
676596,Josh Fleming,93.0
676664,JP Sears,94.0
676684,,96.0
676710,Kutter Crawford,96.0
676714,,94.0
676760,,96.0
676879,Aaron Ashby,97.0
677651,Luis Garcia,95.0
678394,Brayan Bello,98.0
680686,Josiah Gray,96.0
680694,Kyle Bradish,97.0
680704,,95.0
680739,Josh Winder,95.0
681806,,95.0
681911,Alex Vesia,95.0
682051,Garrett Hill,94.0
682171,Penn Murfee,90.0
686752,Ryan Pepiot,95.0
689225,Beau Brieske,95.0
693821,Bryce Elder,93.0
