last_name, first_name,player_id,year,p_formatted_ip,p_k_percent,p_bb_percent,ff_avg_speed,ff_range_speed,si_avg_speed,si_range_speed,fc_avg_speed,fc_range_speed,
Pressly, Ryan,519151,2021,64.0,32.4,5.2,95.4,1.3,95.2,1.4,,,
Sale, Chris,519242,2021,42.2,28.4,6.6,93.6,1.9,92.9,1.5,,,
Smith, Will,519293,2021,68.0,30.7,9.9,92.8,1.2,,,,,
Strickland, Hunter,519326,2021,58.2,24.0,9.1,94.9,1.3,93.7,1.4,,,
Hendriks, Liam,521230,2021,71.0,42.3,2.6,97.7,1.2,,,,,
Kelly, Joe,523260,2021,44.0,27.5,8.2,97.5,1.5,97.7,1.4,,,
Perez, Martin,527048,2021,114.0,19.1,7.1,93.4,1.4,92.8,1.7,89.6,1.5,
Castellanos, Humberto,528748,2021,45.2,14.8,7.7,90.4,1.4,90.4,1.3,,,
Shoemaker, Matt,533167,2021,60.1,14.1,9.5,91.6,1.5,91.7,1.3,,,
Cisnero, Jose,542585,2021,61.2,23.4,11.7,96.7,1.2,96.4,1.4,,,
Anderson, Tyler,542881,2021,167.0,19.1,5.4,90.6,1.6,88.9,1.3,85.2,1.9,
Andriese, Matt,542882,2021,48.1,22.5,5.9,92,1.2,89.6,1.4,85.8,1.4,
Armstrong, Shawn,542888,2021,36.0,26.7,9.1,93.9,1.2,,,89.3,1.7,
Bass, Anthony,542914,2021,61.1,22.3,9.2,95.4,1.1,95.3,1.1,,,
Bleier, Richard,542947,2021,58.0,19.6,2.7,90.5,1.5,90,1.2,87.2,1.5,
Cole, Gerrit,543037,2021,181.1,33.5,5.6,97.7,1.4,97.7,1.5,,,
DeSclafani, Anthony,543101,2021,167.2,22.5,6.2,94.1,1.3,94,1.2,,,
Eovaldi, Nathan,543135,2021,182.1,25.5,4.6,96.8,1.4,,,92.5,1.5,
Gray, Sonny,543243,2021,135.1,27.0,8.7,92.3,1.2,92.4,1.2,83.9,1.8,
Hand, Brad,543272,2021,64.2,21.9,9.4,92.9,1.2,93,1.1,,,
Hendricks, Kyle,543294,2021,181.0,16.7,5.6,87.3,1.7,87.3,1.2,,,
Hudson, Daniel,543339,2021,51.2,35.7,7.6,97,1,96.7,1.4,,,
Lyles, Jordan,543475,2021,180.0,19.0,7.3,93,1.1,91.6,1.2,86.3,1.4,
May, Trevor,543507,2021,62.2,31.2,9.0,96.5,1.1,,,,,
McHugh, Collin,543521,2021,64.0,30.0,4.9,90.6,1.2,,,87.6,1.3,
Odorizzi, Jake,543606,2021,104.2,20.6,7.7,92.2,1.1,,,86.7,2.1,
Shaw, Bryan,543766,2021,77.1,21.3,11.4,94.7,1.5,,,92.8,2,
Familia, Jeurys,544727,2021,59.1,27.5,10.3,97.2,1.3,96.4,1.2,,,
Bauer, Trevor,545333,2021,107.2,31.7,8.6,93.9,1.7,94.4,1.4,85.3,1.8,
Kim, Kwang Hyun,547942,2021,106.2,17.7,8.6,89.1,1.5,89,1.4,,,
Ryu, Hyun Jin,547943,2021,169.0,20.4,5.3,89.9,1.7,89.3,2.1,86.3,1.9,
Chapman, Aroldis,547973,2021,56.1,39.9,15.6,98.3,1.9,100.6,1.5,,,
Raley, Brooks,548384,2021,49.0,31.7,7.8,90.9,1.3,90.7,1.3,87.7,1.5,
Stripling, Ross,548389,2021,101.1,21.8,7.0,91.9,1.7,,,,,
Kittredge, Andrew,552640,2021,71.2,27.3,5.3,94.6,1.3,95.4,1.2,,,
Garcia, Yimi,554340,2021,57.2,25.3,7.6,96,1.5,94.8,1.4,,,
Wheeler, Zack,554430,2021,213.1,29.1,5.4,97.2,1.2,96.7,1.2,,,
Matzek, Tyler,554431,2021,63.0,29.2,14.0,96,1.4,,,,,
Rodriguez, Joely,570257,2021,46.1,22.7,8.7,93.9,1.1,94.1,1.1,,,
Valdez, Phillips,570488,2021,40.0,19.8,10.7,92.7,1.5,92.7,1.2,,,
Urena, Jose,570632,2021,100.2,14.7,9.2,94.2,1.2,93.8,1.5,,,
Robles, Hansel,570663,2021,69.0,25.6,12.5,96.7,1.4,96.4,1.5,,,
Cessa, Luis,570666,2021,64.2,20.7,7.3,93.8,1.2,93.1,1.5,,,
Boyd, Matthew,571510,2021,78.2,19.9,6.8,92,1.3,90.9,1.9,,,
Brothers, Rex,571521,2021,53.0,31.8,14.8,94.5,1.4,,,,,
Corbin, Patrick,571578,2021,171.2,19.0,8.0,92.3,1.6,92.6,1.8,85.9,1.6,
Farmer, Buck,571656,2021,35.1,21.6,12.3,94,1,,,,,
Floro, Dylan,571670,2021,64.0,23.0,9.3,93.8,1.3,93.7,1.3,,,
Givens, Mychal,571710,2021,51.0,25.0,12.5,94.7,1.7,,,,,
Heaney, Andrew,571760,2021,129.2,26.9,7.3,92,1.4,,,,,
Loup, Aaron,571901,2021,56.2,26.1,7.3,,,92.4,1.3,84.7,1.4,
Matz, Steven,571927,2021,150.2,22.3,6.6,,,94.5,1.1,,,
Mikolas, Miles,571945,2021,44.2,16.7,5.9,93.2,1.5,92.8,1.6,,,
Richards, Garrett,572070,2021,136.2,18.6,9.7,94.3,1.4,95.6,1.5,,,
Smith, Burch,572143,2021,43.1,14.9,5.9,93.4,1.6,,,,,
Tepera, Ryan,572193,2021,61.1,30.8,7.9,93.3,1.1,93.3,1.2,,,
Johnson, Pierce,572955,2021,58.2,31.6,11.1,95.5,1.1,,,,,
Keuchel, Dallas,572971,2021,162.0,13.2,8.2,89,1.2,87.8,1.1,85.1,1.2,
Mantiply, Joe,573009,2021,39.2,21.5,9.6,91.4,1.3,91.1,1.4,,,
Rogers, Taylor,573124,2021,40.1,35.5,4.8,,,95.7,1,,,
Stroman, Marcus,573186,2021,179.0,21.6,6.0,92.4,1.4,91.9,1,89.8,1.8,
Thielbar, Caleb,573204,2021,64.0,28.9,7.5,91.3,1.7,,,,,
Minaya, Juan,573668,2021,40.0,25.7,12.0,95.2,1.1,,,,,
Kikuchi, Yusei,579328,2021,157.0,24.5,9.3,95.1,1.5,,,91.3,1.5,
Foltynewicz, Mike,592314,2021,139.0,16.6,6.1,93.8,1.5,93.1,1.6,,,
Gausman, Kevin,592332,2021,192.0,29.3,6.5,94.6,1.7,,,,,
Gonzalez, Chi Chi,592346,2021,101.2,12.5,6.3,91.9,1.3,90.6,1.3,87.8,1,
Gray, Jon,592351,2021,149.0,24.4,9.0,94.9,1.3,,,,,
Hembree, Heath,592390,2021,58.0,34.2,9.9,95.3,1.4,,,,,
Jackson, Luke,592426,2021,63.2,26.8,11.1,95.8,1,,,,,
Plutko, Adam,592644,2021,56.1,17.3,10.6,91.6,1.1,,,87.7,1.5,
Ray, Robbie,592662,2021,193.1,32.1,6.7,94.8,1.4,95.4,1.5,,,
Sanchez, Aaron,592717,2021,35.1,16.7,9.6,90.1,1.6,89.8,1.9,,,
Shreve, Chasen,592741,2021,56.1,19.1,11.9,91.6,1,,,,,
Smith, Caleb,592761,2021,113.2,24.8,12.6,91.4,1.3,,,,,
Smyly, Drew,592767,2021,126.2,21.4,7.5,,,92.1,1.1,87.6,1.3,
Stanek, Ryne,592773,2021,68.1,28.6,12.8,97.6,1.1,,,,,
Taillon, Jameson,592791,2021,144.1,23.2,7.3,93.9,1.1,94.2,1.1,88.4,1.7,
Velasquez, Vince,592826,2021,94.1,24.2,11.8,93.2,1.2,92,1.4,,,
Walker, Taijuan,592836,2021,159.0,22.3,8.4,94.5,1.5,93.7,1.4,,,
Williams, Trevor,592866,2021,91.0,22.2,7.7,91.5,1.5,89.2,1.5,,,
Rodriguez, Richard,593144,2021,64.1,16.7,4.0,93.1,1.1,,,,,
German, Domingo,593334,2021,98.1,23.9,6.6,93.4,1.4,93.7,1.3,,,
Martinez, Carlos,593372,2021,82.1,15.7,9.9,93.4,1.8,91.3,1.3,90.6,1.6,
Montas, Frankie,593423,2021,187.0,26.6,7.3,96.4,1.1,96.2,1.2,90.7,1.2,
Neris, Hector,593576,2021,74.1,31.6,10.3,94.1,1.4,94.8,1.1,,,
Suero, Wander,593833,2021,42.2,23.2,7.9,91.1,1.4,,,92,1.5,
Rodriguez, Eduardo,593958,2021,157.2,27.4,7.0,92.5,1.3,92.5,1.3,88.3,1.7,
Peralta, Wandy,593974,2021,51.0,19.6,9.6,95.6,1.2,94.9,1.2,,,
Mayers, Mike,594577,2021,75.0,28.6,8.3,94.5,1.4,,,91.2,1.7,
deGrom, Jacob,594798,2021,92.0,45.1,3.4,99.2,1.3,,,,,
Gonzales, Marco,594835,2021,143.1,18.5,7.2,88.4,1,,,85.5,1.1,
Ponce de Leon, Daniel,594965,2021,33.1,15.2,13.9,93,1.6,91.7,,89.2,1.9,
Treinen, Blake,595014,2021,72.1,29.7,8.7,97.7,1.2,97.4,1.1,93.3,1.3,
Winkler, Dan,595465,2021,39.2,21.1,15.8,94,1.3,92.7,1.4,91.2,1.3,
Curtiss, John,595928,2021,44.1,23.5,6.4,94.9,1.5,,,91.8,1.5,
Junis, Jakob,596001,2021,39.1,24.4,7.1,90.8,1.6,90.9,1.5,88.7,1.8,
Norris, Daniel,596057,2021,57.0,23.4,12.1,92.7,1.4,,,,,
Stephenson, Robert,596112,2021,46.0,26.4,9.1,96.5,1.3,,,,,
Weaver, Luke,596133,2021,65.2,22.5,7.3,93.6,1.4,91.1,,87.4,1.6,
Gomber, Austin,596295,2021,115.1,23.2,8.4,91.6,1.4,,,,,
Barnes, Matt,598264,2021,54.2,37.8,9.0,95.8,1.3,,,,,
Machado, Andres,600921,2021,35.2,19.5,9.7,94.9,1.2,93.9,1.4,,,
Pivetta, Nick,601713,2021,155.0,26.5,9.8,94.8,1.4,93.3,1.5,,,
Barlow, Scott,605130,2021,74.1,29.7,9.2,95.3,1.4,96.3,1.5,,,
Bassitt, Chris,605135,2021,157.1,25.0,6.1,93.2,1.5,92.8,1.3,88.8,1.7,
Bradley, Archie,605151,2021,51.0,17.9,9.8,94,1.4,93.9,1.3,,,
Bundy, Dylan,605164,2021,90.2,21.2,8.6,90.7,1.8,90.7,1.6,,,
Chafin, Andrew,605177,2021,68.2,24.1,7.1,91.8,1.5,92.1,1.6,,,
Davies, Zach,605200,2021,148.0,17.1,11.2,,,88,1.2,86.6,1.2,
Fulmer, Michael,605242,2021,69.2,24.6,6.7,95.5,1.3,95.7,1.4,,,
Holmes, Clay,605280,2021,70.0,26.7,9.9,,,96,1.5,,,
Houser, Adrian,605288,2021,142.1,17.5,10.7,94.1,1.1,93.6,1.1,,,
Lopez, Jorge,605347,2021,121.2,20.2,10.1,95.3,1.4,95.3,1.5,,,
Musgrove, Joe,605397,2021,181.1,27.1,7.2,93.3,1.2,93.2,1.2,90.6,1.4,
Nola, Aaron,605400,2021,180.2,29.8,5.2,92.9,1.4,92,1.5,86.7,1.5,
Romano, Jordan,605447,2021,63.0,33.6,9.9,97.6,1.5,97.8,1.5,,,
Ross, Joe,605452,2021,108.0,23.7,7.4,93.6,1.4,93.4,1.5,,,
Snell, Blake,605483,2021,128.2,30.9,12.5,95.1,1.3,,,,,
Springs, Jeffrey,605488,2021,44.2,35.2,7.8,93.4,1,,,,,
Thompson, Zach,605507,2021,75.0,21.0,8.9,92.2,1.4,92.1,1.4,87.1,1.6,
Turnbull, Spencer,605513,2021,50.0,21.9,6.0,93.9,1.4,94.9,1.4,92.6,1.3,
Wendelken, J.B.,605525,2021,43.2,20.1,11.3,94.3,1.4,93.2,1.3,,,
Wisler, Matt,605538,2021,48.2,31.8,5.6,91.5,1.2,,,,,
Woodruff, Brandon,605540,2021,179.1,29.8,6.1,96.5,1.2,96.2,1.2,,,
Gallegos, Giovanny,606149,2021,80.1,30.6,6.5,94.4,1.1,,,,,
Montero, Rafael,606160,2021,49.1,18.7,7.6,95.8,1.3,95.1,1.2,,,
Payamps, Joel,606303,2021,50.1,18.5,6.8,94.8,1.3,94.4,1.4,,,
Garcia, Jarlin,606424,2021,68.2,25.3,6.7,93.1,1.2,,,,,
Rodon, Carlos,607074,2021,132.2,34.6,6.7,95.4,2.4,,,,,
Faria, Jake,607188,2021,32.2,20.8,8.4,92.3,1,93.2,,,,
Glasnow, Tyler,607192,2021,88.0,36.2,7.9,97,1.5,,,,,
Fedde, Erick,607200,2021,133.1,21.7,8.1,93.2,1.2,93.8,1.2,89.4,1.3,
Gant, John,607231,2021,110.0,18.7,14.5,92,2.5,91.6,2,85.4,2.2,
Garrett, Amir,607237,2021,47.2,28.4,13.5,94.8,1.3,94.7,1.5,,,
Patton, Spencer,607359,2021,42.1,27.9,8.7,93.4,1,94.1,,,,
Banda, Anthony,607455,2021,33.2,20.9,8.5,94.1,1.2,,,85.5,1.4,
Bummer, Aaron,607481,2021,56.1,31.0,12.0,,,95.4,1.3,88.1,1.4,
Freeland, Kyle,607536,2021,120.2,20.4,7.4,91.4,1.5,91.3,1.4,,,
Howard, Sam,607572,2021,45.0,30.2,16.1,93.4,1.2,,,,,
Lugo, Seth,607625,2021,46.1,28.2,9.7,94.2,1.6,93.4,1.8,,,
Means, John,607644,2021,146.2,22.7,4.4,92.8,1.2,,,,,
Estevez, Carlos,608032,2021,61.2,22.2,7.8,97.1,1.4,,,,,
De Jong, Chase,608328,2021,43.2,19.9,9.7,92.9,1.1,93.3,1.5,,,
Fried, Max,608331,2021,165.2,23.7,6.1,94,1.8,93.5,1.8,,,
Funkhouser, Kyle,608335,2021,68.1,21.1,12.8,95.8,1.3,95.5,1.3,,,
Giolito, Lucas,608337,2021,178.2,27.9,7.2,93.8,1.3,,,,,
Irvin, Cole,608344,2021,178.1,16.3,5.5,90.8,1.7,90.5,1.6,90.7,1.6,
Sims, Lucas,608371,2021,47.0,39.0,9.2,95.1,1.1,,,,,
Wacha, Michael,608379,2021,124.2,22.9,5.9,93.8,1.6,94.1,1.5,89.1,1.6,
Marquez, German,608566,2021,180.0,23.3,8.5,94.8,1.5,94,1.5,,,
Chargois, JT,608638,2021,53.2,24.5,9.3,95.6,1.4,96.3,1.2,,,
Duffey, Tyler,608648,2021,62.1,24.0,11.0,92.5,1.3,92.6,1.4,,,
Graveman, Kendall,608665,2021,56.0,27.5,9.0,96.3,1.2,96.6,1.3,,,
Leone, Dominic,608678,2021,53.2,22.8,10.0,95.5,1.1,94.6,1.4,90.1,1.1,
Steckenrider, Drew,608716,2021,67.2,21.7,6.4,94,1.5,,,,,
Stratton, Chris,608717,2021,79.1,25.5,9.8,93,1.1,93.6,1.4,,,
Suter, Brent,608718,2021,73.1,22.0,7.7,87.3,1.5,88.6,1.6,,,
Voth, Austin,608723,2021,57.1,23.8,11.3,94.2,1.1,,,90.2,1.3,
Castro, Miguel,612434,2021,70.1,25.4,14.2,,,98,1.2,,,
Adams, Austin,613534,2021,52.2,31.5,14.5,94.1,1.1,,,,,
Ruiz, Jose,614179,2021,65.0,23.2,9.2,97,1.3,,,,,
Quantrill, Cal,615698,2021,149.2,19.6,7.6,94.4,1,94.3,1,88.4,1.4,
Sawamura, Hirokazu,617228,2021,53.0,26.2,13.7,96,1.1,,,,,
Reyes, Alex,621052,2021,72.1,30.0,16.4,96.6,1.2,96.7,1.1,,,
Kaprielian, James,621076,2021,119.1,24.5,8.2,93,1.2,92.4,1.2,,,
Eflin, Zach,621107,2021,105.2,22.4,3.6,93.1,1.3,92.4,1.4,89.6,1.5,
Buehler, Walker,621111,2021,207.2,26.0,6.4,95.3,1.2,95.3,1.2,91.6,1.5,
Blackburn, Paul,621112,2021,38.1,14.9,5.7,90.8,1.2,91.1,1.1,87,1.4,
Burr, Ryan,621114,2021,36.2,21.9,13.9,94.7,1,,,86.7,1.3,
McCullers Jr., Lance,621121,2021,162.1,27.0,11.1,,,93.9,1.7,89.8,1.5,
Mills, Alec,621219,2021,119.0,16.8,6.6,88.7,1.3,89.1,1.4,,,
Alvarado, Jose,621237,2021,55.2,27.1,18.7,98.3,1.6,99.4,1.1,94.1,1.4,
Diaz, Edwin,621242,2021,62.2,34.6,8.9,98.8,1.3,99.5,1.6,,,
Berrios, Jose,621244,2021,192.0,26.1,5.8,94.1,1.2,93.8,1.2,,,
Underwood Jr., Duane,621249,2021,72.2,20.3,8.4,94.1,1.4,93.3,1.4,90.1,1.5,
Wittgren, Nick,621295,2021,62.1,23.6,6.6,92.5,1.1,92.3,1.4,88.2,1.3,
Minter, A.J.,621345,2021,52.1,25.8,9.0,96.1,1,,,89,1.3,
Clay, Sam,621348,2021,45.0,15.9,10.3,,,92.3,1.3,,,
Hearn, Taylor,621368,2021,104.1,20.9,9.5,95.1,1.6,93.8,1.6,89.6,1.7,
Young, Alex,622065,2021,52.0,17.5,11.0,91.5,1.3,89.6,1.4,86.3,1.7,
Wood, Alex,622072,2021,138.2,26.0,6.7,,,91.8,0.9,,,
Almonte, Yency,622075,2021,47.2,21.7,13.4,94.2,1.2,93.4,1.6,,,
