last_name, first_name,player_id,year,b_total_pa,isolated_power,
Hedges, Austin,595978,2022,338,.085,
Lindor, Francisco,596019,2022,706,.179,
Odor, Rougned,596059,2022,472,.150,
Slater, Austin,596103,2022,325,.144,
Story, Trevor,596115,2022,396,.196,
Stubbs, Garrett,596117,2022,121,.198,
Vogelbach, Daniel,596129,2022,461,.194,
Sanchez, Gary,596142,2022,471,.172,
Kepler, Max,596146,2022,446,.121,
Quinn, Roman,596451,2022,87,.089,
Franco, Maikel,596748,2022,388,.113,
Choi, Ji-Man,596847,2022,419,.154,
Bradley Jr., Jackie,598265,2022,370,.108,
La Stella, Tommy,600303,2022,195,.111,
Candelario, Jeimer,600869,2022,467,.145,
Daza, Yonathan,602074,2022,408,.083,
Urias, Ramon,602104,2022,445,.166,
Ahmed, Nick,605113,2022,54,.212,
Anderson, Brian,605119,2022,383,.124,
Barnes, Austin,605131,2022,212,.168,
Bell, Josh,605137,2022,647,.156,
Betts, Mookie,605141,2022,639,.264,
Caratini, Victor,605170,2022,314,.143,
Davis, J.D.,605204,2022,365,.170,
Garcia, Aramis,605244,2022,115,.046,
Machin, Vimael,605353,2022,253,.067,
Perez, Michael,605421,2022,132,.149,
Zimmer, Bradley,605548,2022,117,.105,
Castro, Harold,605612,2022,443,.110,
Arcia, Orlando,606115,2022,234,.172,
Tapia, Raimel,606132,2022,433,.114,
Aquino, Aristides,606157,2022,276,.166,
Hernandez, Teoscar,606192,2022,535,.224,
Mercedes, Yermin,606213,2022,83,.110,
Marte, Ketel,606466,2022,558,.167,
Haase, Eric,606992,2022,351,.189,
Hager, Jake,606993,2022,59,.040,
Nimmo, Brandon,607043,2022,673,.159,
Peterson, Jace,607054,2022,328,.146,
Turner, Trea,607208,2022,708,.169,
Stallings, Jacob,607732,2022,384,.069,
Ramirez, Jose,608070,2022,685,.235,
Bregman, Alex,608324,2022,656,.195,
Gallo, Joey,608336,2022,410,.197,
Kelly, Carson,608348,2022,354,.123,
Seager, Corey,608369,2022,663,.211,
Winker, Jesse,608385,2022,547,.125,
Mazara, Nomar,608577,2022,171,.088,
Jankowski, Travis,608671,2022,64,.000,
Mayfield, Jack,608686,2022,74,.086,
Plawecki, Kevin,608700,2022,186,.065,
Refsnyder, Rob,608701,2022,177,.190,
Reynolds, Matt,608703,2022,272,.086,
Meneses, Joey,608841,2022,240,.239,
Mondesi, Adalberto,609275,2022,54,.000,
Andujar, Miguel,609280,2022,140,.076,
Vosler, Jason,613564,2022,111,.204,
Cordero, Franchy,614173,2022,275,.178,
Reyes, Franmil,614177,2022,473,.144,
Torrens, Luis,620443,2022,166,.073,
